,BP,ECG,PPG
207,65.0,-0.3936767578125,-0.94482421875
208,65.0,-0.3826904296875,-0.74310302734375
209,65.0,-0.3802490234375,-0.5364990234375
210,65.0,-0.384521484375,-0.33203125
211,65.0,-0.3839111328125,-0.13427734375
212,65.0,-0.384521484375,0.0531005859375
213,65.0,-0.4083251953125,0.22735595703125
214,65.0,-0.4327392578125,0.3875732421875
215,65.0,-0.447998046875,0.53009033203125
216,64.0,-0.4595947265625,0.6549072265625
217,63.0,-0.4730224609375,0.76416015625
218,63.0,-0.4925537109375,0.85723876953125
219,64.0,-0.5084228515625,0.93536376953125
220,63.0,-0.5218505859375,1.0003662109375
221,63.0,-0.54443359375,1.05224609375
222,62.0,-0.5621337890625,1.0955810546875
223,61.0,-0.56640625,1.129150390625
224,62.0,-0.5645751953125,1.15570068359375
225,61.0,-0.5718994140625,1.1785888671875
226,61.0,-0.5877685546875,1.197509765625
227,60.0,-0.59326171875,1.21246337890625
228,60.0,-0.5889892578125,1.2261962890625
229,59.0,-0.589599609375,1.23809814453125
230,58.0,-0.5926513671875,1.24969482421875
231,58.0,-0.589599609375,1.2603759765625
232,58.0,-0.5804443359375,1.27166748046875
233,57.0,-0.5877685546875,1.28509521484375
234,57.0,-0.6005859375,1.298828125
235,57.0,-0.599365234375,1.3128662109375
236,56.0,-0.5950927734375,1.328125
237,56.0,-0.5926513671875,1.343994140625
238,56.0,-0.5963134765625,1.35833740234375
239,55.0,-0.5908203125,1.37054443359375
240,55.0,-0.587158203125,1.38092041015625
241,55.0,-0.5908203125,1.38916015625
242,55.0,-0.5950927734375,1.39434814453125
243,54.0,-0.5926513671875,1.39495849609375
244,54.0,-0.5908203125,1.3934326171875
245,55.0,-0.601806640625,1.387939453125
246,54.0,-0.6134033203125,1.38031005859375
247,54.0,-0.61767578125,1.36871337890625
248,54.0,-0.6085205078125,1.356201171875
249,54.0,-0.6085205078125,1.341552734375
250,53.0,-0.614013671875,1.3275146484375
251,53.0,-0.6195068359375,1.31134033203125
252,54.0,-0.6231689453125,1.2957763671875
253,53.0,-0.6292724609375,1.280517578125
254,53.0,-0.6329345703125,1.265869140625
255,53.0,-0.626220703125,1.25244140625
256,53.0,-0.6195068359375,1.2384033203125
257,53.0,-0.6292724609375,1.2274169921875
258,53.0,-0.6396484375,1.2164306640625
259,53.0,-0.643310546875,1.2060546875
260,53.0,-0.63720703125,1.1956787109375
261,52.0,-0.633544921875,1.185302734375
262,51.0,-0.634765625,1.1773681640625
263,52.0,-0.631103515625,1.1688232421875
264,52.0,-0.6268310546875,1.16119384765625
265,51.0,-0.638427734375,1.15325927734375
266,51.0,-0.65185546875,1.14593505859375
267,52.0,-0.653076171875,1.1370849609375
268,51.0,-0.6463623046875,1.12640380859375
269,51.0,-0.648193359375,1.11572265625
270,51.0,-0.650634765625,1.10382080078125
271,51.0,-0.64697265625,1.0888671875
272,50.0,-0.6402587890625,1.0736083984375
273,50.0,-0.6439208984375,1.05682373046875
274,50.0,-0.6475830078125,1.0369873046875
275,50.0,-0.6463623046875,1.016845703125
276,50.0,-0.6439208984375,0.99334716796875
277,50.0,-0.65185546875,0.96893310546875
278,50.0,-0.6646728515625,0.9429931640625
279,49.0,-0.6683349609375,0.9149169921875
280,49.0,-0.6622314453125,0.8843994140625
281,49.0,-0.6622314453125,0.8526611328125
282,49.0,-0.6610107421875,0.81878662109375
283,49.0,-0.657958984375,0.78338623046875
284,48.0,-0.653076171875,0.74554443359375
285,48.0,-0.6622314453125,0.71014404296875
286,48.0,-0.673828125,0.67138671875
287,47.0,-0.6719970703125,0.63201904296875
288,47.0,-0.6634521484375,0.592041015625
289,48.0,-0.6640625,0.5523681640625
290,48.0,-0.6634521484375,0.511474609375
291,47.0,-0.6622314453125,0.47027587890625
292,47.0,-0.6597900390625,0.42816162109375
293,47.0,-0.667724609375,0.38665771484375
294,47.0,-0.6744384765625,0.34454345703125
295,47.0,-0.673828125,0.30364990234375
296,46.0,-0.6689453125,0.26336669921875
297,46.0,-0.6707763671875,0.2239990234375
298,46.0,-0.6707763671875,0.186767578125
299,46.0,-0.657958984375,0.14984130859375
300,46.0,-0.638427734375,0.1129150390625
301,46.0,-0.6219482421875,0.078125
302,46.0,-0.6085205078125,0.04058837890625
303,45.0,-0.5889892578125,0.003662109375
304,45.0,-0.5743408203125,-0.03448486328125
305,46.0,-0.572509765625,-0.07171630859375
306,45.0,-0.574951171875,-0.10986328125
307,45.0,-0.5657958984375,-0.14862060546875
308,45.0,-0.557861328125,-0.18798828125
309,45.0,-0.562744140625,-0.2276611328125
310,44.0,-0.5767822265625,-0.26580810546875
311,44.0,-0.59326171875,-0.3021240234375
312,44.0,-0.604248046875,-0.338134765625
313,44.0,-0.6268310546875,-0.369873046875
314,44.0,-0.6475830078125,-0.39947509765625
315,44.0,-0.6585693359375,-0.42816162109375
316,43.0,-0.667724609375,-0.45562744140625
317,43.0,-0.6805419921875,-0.48126220703125
318,43.0,-0.693359375,-0.506591796875
319,43.0,-0.6927490234375,-0.531005859375
320,43.0,-0.6890869140625,-0.5560302734375
321,43.0,-0.693359375,-0.58013916015625
322,43.0,-0.7025146484375,-0.60546875
323,45.0,-0.706787109375,-0.63232421875
324,45.0,-0.704345703125,-0.66070556640625
325,48.0,-0.7086181640625,-0.689697265625
326,52.0,-0.711669921875,-0.72021484375
327,55.0,-0.7061767578125,-0.75103759765625
328,59.0,-0.70068359375,-0.7818603515625
329,64.0,-0.706787109375,-0.8135986328125
330,70.0,-0.7122802734375,-0.8428955078125
331,74.0,-0.7080078125,-0.87371826171875
332,79.0,-0.6768798828125,-0.90484619140625
333,82.0,-0.604248046875,-0.936279296875
334,85.0,-0.4571533203125,-0.96649169921875
335,88.0,-0.2288818359375,-0.99822998046875
336,89.0,0.0531005859375,-1.0321044921875
337,90.0,0.3240966796875,-1.06536865234375
338,90.0,0.4864501953125,-1.09893798828125
339,90.0,0.4656982421875,-1.13250732421875
340,89.0,0.2764892578125,-1.16546630859375
341,88.0,-0.013427734375,-1.19781494140625
342,87.0,-0.28076171875,-1.2298583984375
343,86.0,-0.440673828125,-1.26007080078125
344,84.0,-0.498046875,-1.29150390625
345,82.0,-0.5267333984375,-1.3214111328125
346,81.0,-0.556640625,-1.3507080078125
347,80.0,-0.582275390625,-1.3818359375
348,78.0,-0.60546875,-1.41265869140625
349,77.0,-0.638427734375,-1.444091796875
350,76.0,-0.6597900390625,-1.47705078125
351,75.0,-0.6658935546875,-1.50970458984375
352,74.0,-0.662841796875,-1.5423583984375
353,73.0,-0.66650390625,-1.5740966796875
354,73.0,-0.66650390625,-1.60430908203125
355,72.0,-0.66162109375,-1.6351318359375
356,72.0,-0.6512451171875,-1.66412353515625
357,72.0,-0.64453125,-1.693115234375
358,72.0,-0.6427001953125,-1.72210693359375
359,71.0,-0.6390380859375,-1.7510986328125
360,71.0,-0.6378173828125,-1.7803955078125
361,71.0,-0.6378173828125,-1.80999755859375
362,71.0,-0.6365966796875,-1.83990478515625
363,70.0,-0.6231689453125,-1.871337890625
364,70.0,-0.609130859375,-1.90338134765625
365,70.0,-0.606689453125,-1.9354248046875
366,69.0,-0.60791015625,-1.96746826171875
367,69.0,-0.5987548828125,-2.00042724609375
368,69.0,-0.5859375,-2.0330810546875
369,68.0,-0.584716796875,-2.064208984375
370,67.0,-0.5859375,-2.09564208984375
371,66.0,-0.58349609375,-2.12615966796875
372,66.0,-0.576171875,-2.1575927734375
373,66.0,-0.5731201171875,-2.18658447265625
374,65.0,-0.5633544921875,-2.21527099609375
375,65.0,-0.545654296875,-2.24365234375
376,65.0,-0.531005859375,-2.26776123046875
377,64.0,-0.5255126953125,-2.28485107421875
378,64.0,-0.5194091796875,-2.29400634765625
379,65.0,-0.5035400390625,-2.2900390625
380,65.0,-0.4833984375,-2.26776123046875
381,64.0,-0.4779052734375,-2.22412109375
382,65.0,-0.4742431640625,-2.1575927734375
383,64.0,-0.4632568359375,-2.06451416015625
384,64.0,-0.4541015625,-1.9464111328125
385,64.0,-0.4547119140625,-1.80389404296875
386,64.0,-0.457763671875,-1.6400146484375
387,65.0,-0.4541015625,-1.45904541015625
388,65.0,-0.4498291015625,-1.26678466796875
389,65.0,-0.45166015625,-1.06536865234375
390,64.0,-0.4510498046875,-0.8612060546875
391,65.0,-0.4425048828125,-0.65826416015625
392,64.0,-0.435791015625,-0.46173095703125
393,64.0,-0.4443359375,-0.2734375
394,64.0,-0.4656982421875,-0.09613037109375
395,64.0,-0.4852294921875,0.06622314453125
396,63.0,-0.5059814453125,0.2105712890625
397,63.0,-0.5224609375,0.3399658203125
398,63.0,-0.537109375,0.4510498046875
399,63.0,-0.5450439453125,0.54534912109375
400,62.0,-0.5584716796875,0.62408447265625
401,62.0,-0.5816650390625,0.68939208984375
402,61.0,-0.6024169921875,0.7427978515625
403,61.0,-0.6109619140625,0.78369140625
404,61.0,-0.6134033203125,0.81695556640625
405,60.0,-0.6243896484375,0.84320068359375
406,60.0,-0.633544921875,0.8648681640625
407,60.0,-0.635986328125,0.88134765625
408,59.0,-0.6341552734375,0.89630126953125
409,58.0,-0.638427734375,0.9088134765625
410,58.0,-0.640869140625,0.92041015625
411,58.0,-0.6353759765625,0.9320068359375
412,57.0,-0.6292724609375,0.94329833984375
413,56.0,-0.63232421875,0.95550537109375
414,57.0,-0.6378173828125,0.9674072265625
415,56.0,-0.6365966796875,0.97991943359375
416,55.0,-0.6292724609375,0.9918212890625
417,56.0,-0.63232421875,1.00372314453125
418,55.0,-0.6365966796875,1.01593017578125
419,54.0,-0.6378173828125,1.026611328125
420,55.0,-0.6378173828125,1.03546142578125
421,55.0,-0.6402587890625,1.043701171875
422,55.0,-0.64453125,1.04888916015625
423,54.0,-0.64453125,1.05133056640625
424,54.0,-0.6488037109375,1.0491943359375
425,54.0,-0.6597900390625,1.04583740234375
426,54.0,-0.6719970703125,1.038818359375
427,53.0,-0.6719970703125,1.0284423828125
428,53.0,-0.6671142578125,1.01654052734375
429,53.0,-0.6658935546875,1.00250244140625
430,52.0,-0.665283203125,0.987548828125
431,53.0,-0.6610107421875,0.97137451171875
432,54.0,-0.6622314453125,0.95611572265625
433,53.0,-0.672607421875,0.9417724609375
434,53.0,-0.68115234375,0.92864990234375
435,52.0,-0.6854248046875,0.91644287109375
436,53.0,-0.68115234375,0.9063720703125
437,52.0,-0.6805419921875,0.8984375
438,52.0,-0.6781005859375,0.8941650390625
439,52.0,-0.6744384765625,0.888671875
440,52.0,-0.6781005859375,0.88531494140625
441,52.0,-0.6884765625,0.88287353515625
442,52.0,-0.697021484375,0.88226318359375
443,52.0,-0.693359375,0.880126953125
444,51.0,-0.68603515625,0.87677001953125
445,51.0,-0.692138671875,0.875244140625
446,51.0,-0.6988525390625,0.87127685546875
447,50.0,-0.6988525390625,0.8673095703125
448,50.0,-0.693359375,0.86181640625
449,51.0,-0.6951904296875,0.8544921875
450,51.0,-0.6976318359375,0.84625244140625
451,50.0,-0.697021484375,0.836181640625
452,50.0,-0.6964111328125,0.823974609375
453,50.0,-0.7025146484375,0.810546875
454,49.0,-0.70556640625,0.79681396484375
455,50.0,-0.6964111328125,0.77972412109375
456,50.0,-0.6866455078125,0.7598876953125
457,48.0,-0.68603515625,0.74066162109375
458,49.0,-0.6854248046875,0.7171630859375
459,49.0,-0.6817626953125,0.6927490234375
460,48.0,-0.6793212890625,0.6640625
461,48.0,-0.6842041015625,0.63507080078125
462,48.0,-0.684814453125,0.60302734375
463,48.0,-0.68115234375,0.5682373046875
464,48.0,-0.6793212890625,0.53314208984375
465,48.0,-0.684814453125,0.49530029296875
466,48.0,-0.692138671875,0.45745849609375
467,47.0,-0.693359375,0.41748046875
468,47.0,-0.6939697265625,0.3778076171875
469,47.0,-0.6964111328125,0.338134765625
470,47.0,-0.6976318359375,0.2984619140625
471,47.0,-0.6939697265625,0.2581787109375
472,46.0,-0.6927490234375,0.21942138671875
473,46.0,-0.6982421875,0.1800537109375
474,46.0,-0.6927490234375,0.14068603515625
475,46.0,-0.6695556640625,0.10162353515625
476,46.0,-0.6427001953125,0.062255859375
477,46.0,-0.626220703125,0.02410888671875
478,46.0,-0.6207275390625,-0.01434326171875
479,46.0,-0.6097412109375,-0.05340576171875
480,45.0,-0.601806640625,-0.09124755859375
481,45.0,-0.604248046875,-0.12969970703125
482,45.0,-0.604248046875,-0.166015625
483,45.0,-0.6005859375,-0.20416259765625
484,45.0,-0.5950927734375,-0.2410888671875
485,44.0,-0.59814453125,-0.27618408203125
486,45.0,-0.611572265625,-0.31005859375
487,44.0,-0.6219482421875,-0.34423828125
488,44.0,-0.6390380859375,-0.3778076171875
489,44.0,-0.6634521484375,-0.4095458984375
490,44.0,-0.6829833984375,-0.443115234375
491,43.0,-0.694580078125,-0.47454833984375
492,43.0,-0.706787109375,-0.5059814453125
493,43.0,-0.72021484375,-0.53619384765625
494,43.0,-0.726318359375,-0.56640625
495,43.0,-0.72509765625,-0.59661865234375
496,43.0,-0.7232666015625,-0.62652587890625
497,42.0,-0.7281494140625,-0.6549072265625
498,42.0,-0.7305908203125,-0.68328857421875
499,42.0,-0.726318359375,-0.711669921875
500,42.0,-0.7196044921875,-0.73974609375
501,42.0,-0.7220458984375,-0.7684326171875
502,42.0,-0.726318359375,-0.797119140625
503,42.0,-0.7305908203125,-0.82489013671875
504,43.0,-0.7342529296875,-0.85418701171875
505,45.0,-0.745849609375,-0.8807373046875
506,47.0,-0.7489013671875,-0.9075927734375
507,50.0,-0.732421875,-0.93475341796875
508,54.0,-0.694580078125,-0.96099853515625
509,58.0,-0.609130859375,-0.9869384765625
510,62.0,-0.455322265625,-1.0125732421875
511,67.0,-0.2362060546875,-1.0382080078125
512,72.0,0.0250244140625,-1.0650634765625
513,78.0,0.2606201171875,-1.09161376953125
514,80.0,0.3729248046875,-1.11785888671875
515,83.0,0.32470703125,-1.14654541015625
516,86.0,0.1409912109375,-1.17462158203125
517,88.0,-0.1068115234375,-1.2042236328125
518,89.0,-0.311279296875,-1.2335205078125
519,89.0,-0.42724609375,-1.26373291015625
520,89.0,-0.4840087890625,-1.2945556640625
521,89.0,-0.526123046875,-1.32293701171875
522,87.0,-0.5706787109375,-1.351318359375
523,86.0,-0.609130859375,-1.3800048828125
524,85.0,-0.6402587890625,-1.40655517578125
525,83.0,-0.673828125,-1.43341064453125
526,81.0,-0.6951904296875,-1.45965576171875
527,80.0,-0.6988525390625,-1.48681640625
528,78.0,-0.693359375,-1.512451171875
529,77.0,-0.6915283203125,-1.54022216796875
530,76.0,-0.6884765625,-1.568603515625
531,75.0,-0.68359375,-1.59637451171875
532,74.0,-0.6854248046875,-1.6253662109375
533,73.0,-0.6866455078125,-1.654052734375
534,73.0,-0.684814453125,-1.6827392578125
535,72.0,-0.6756591796875,-1.71173095703125
536,71.0,-0.665283203125,-1.73919677734375
537,71.0,-0.6658935546875,-1.76666259765625
538,70.0,-0.6671142578125,-1.7950439453125
539,69.0,-0.66162109375,-1.822509765625
540,70.0,-0.6573486328125,-1.84906005859375
541,69.0,-0.6573486328125,-1.87591552734375
542,68.0,-0.654296875,-1.9036865234375
543,69.0,-0.643310546875,-1.93328857421875
544,69.0,-0.633544921875,-1.9647216796875
545,68.0,-0.6292724609375,-1.99676513671875
546,68.0,-0.6219482421875,-2.0306396484375
547,68.0,-0.6097412109375,-2.06512451171875
548,67.0,-0.60302734375,-2.099609375
549,66.0,-0.6011962890625,-2.13348388671875
550,65.0,-0.5926513671875,-2.1661376953125
551,65.0,-0.577392578125,-2.196044921875
552,65.0,-0.5615234375,-2.22259521484375
553,64.0,-0.5517578125,-2.242431640625
554,64.0,-0.5419921875,-2.25341796875
555,63.0,-0.52978515625,-2.25433349609375
556,63.0,-0.5218505859375,-2.24029541015625
557,63.0,-0.5242919921875,-2.20672607421875
558,63.0,-0.5242919921875,-2.152099609375
559,63.0,-0.51513671875,-2.07550048828125
560,63.0,-0.50537109375,-1.97540283203125
561,63.0,-0.5010986328125,-1.85302734375
562,63.0,-0.4974365234375,-1.708984375
563,63.0,-0.4949951171875,-1.549072265625
564,64.0,-0.4925537109375,-1.37451171875
565,63.0,-0.4937744140625,-1.18988037109375
566,63.0,-0.4962158203125,-1.00067138671875
567,63.0,-0.4913330078125,-0.80963134765625
568,64.0,-0.4925537109375,-0.62255859375
569,64.0,-0.5023193359375,-0.44219970703125
570,63.0,-0.509033203125,-0.27099609375
571,63.0,-0.5157470703125,-0.113525390625
572,64.0,-0.528564453125,0.02960205078125
573,64.0,-0.5523681640625,0.157470703125
574,63.0,-0.5743408203125,0.26763916015625
575,63.0,-0.587158203125,0.36224365234375
576,63.0,-0.6005859375,0.44219970703125
577,62.0,-0.6182861328125,0.5084228515625
578,63.0,-0.6329345703125,0.56121826171875
579,62.0,-0.6390380859375,0.60302734375
580,61.0,-0.6439208984375,0.635986328125
581,62.0,-0.65185546875,0.66131591796875
582,61.0,-0.660400390625,0.679931640625
583,60.0,-0.66162109375,0.6939697265625
584,60.0,-0.662841796875,0.70281982421875
585,60.0,-0.6658935546875,0.7098388671875
586,60.0,-0.665283203125,0.7147216796875
587,59.0,-0.657958984375,0.71685791015625
588,58.0,-0.6494140625,0.7183837890625
589,58.0,-0.645751953125,0.7196044921875
590,58.0,-0.643310546875,0.718994140625
591,57.0,-0.6378173828125,0.71868896484375
592,57.0,-0.6390380859375,0.71807861328125
593,57.0,-0.6475830078125,0.71868896484375
594,55.0,-0.654296875,0.71868896484375
595,55.0,-0.6494140625,0.7171630859375
596,55.0,-0.643310546875,0.71533203125
597,55.0,-0.6451416015625,0.71197509765625
598,55.0,-0.6512451171875,0.7080078125
599,54.0,-0.6561279296875,0.70220947265625
600,55.0,-0.6591796875,0.69366455078125
601,54.0,-0.665283203125,0.68572998046875
602,53.0,-0.6597900390625,0.67626953125
603,54.0,-0.6536865234375,0.66436767578125
604,53.0,-0.6549072265625,0.6524658203125
605,53.0,-0.6640625,0.64056396484375
606,53.0,-0.672607421875,0.6280517578125
607,53.0,-0.6719970703125,0.6170654296875
608,52.0,-0.6719970703125,0.60760498046875
609,52.0,-0.6793212890625,0.59906005859375
610,53.0,-0.6842041015625,0.59356689453125
611,52.0,-0.68603515625,0.58868408203125
612,52.0,-0.6854248046875,0.5859375
613,52.0,-0.692138671875,0.58502197265625
614,52.0,-0.69580078125,0.58563232421875
615,51.0,-0.697021484375,0.58685302734375
